year,researcher_type,monthly_salary_eur
2020,traditional,4200
2020,ai_skilled,4500
2021,traditional,4300
2021,ai_skilled,4750
2022,traditional,4400
2022,ai_skilled,5020
2023,traditional,4520
2023,ai_skilled,5330
2024,traditional,4630
2024,ai_skilled,5700
2025,traditional,4750
2025,ai_skilled,6100
2026,traditional,4870
2026,ai_skilled,6550
2027,traditional,4990
2027,ai_skilled,7050
2028,traditional,5100
2028,ai_skilled,7580
2029,traditional,5210
2029,ai_skilled,8150
2030,traditional,5320
2030,ai_skilled,8750
